index,Year,Firstname,Lastname,Category,Gender,Birth_Date,Birth_Country_Code,present_birth_country,full_name,day_month
72,1912,Gustaf,Dalén,physics,male,1869-11-30,SE,Sweden,Gustaf Dalén,30-11
73,1912,Elihu,Root,peace,male,1845-02-15,US,USA,Elihu Root,15-02
74,1913,Charles,Richet,medicine,male,1850-08-26,FR,France,Charles Richet,26-08
75,1913,Alfred,Werner,chemistry,male,1866-12-12,FR,France,Alfred Werner,12-12
76,1913,Henri,La Fontaine,peace,male,1854-04-22,BE,Belgium,Henri La Fontaine,22-04
77,1913,Rabindranath,Tagore,literature,male,1861-05-07,IN,India,Rabindranath Tagore,07-05
78,1913,Heike,Kamerlingh Onnes,physics,male,1853-09-21,NL,the Netherlands,Heike Kamerlingh Onnes,21-09
79,1914,Max,von Laue,physics,male,1879-10-09,DE,Germany,Max von Laue,09-10
80,1914,Robert,Bárány,medicine,male,1876-04-22,AT,Austria,Robert Bárány,22-04
81,1914,Theodore W.,Richards,chemistry,male,1868-01-31,US,USA,Theodore W. Richards,31-01
82,1915,William,Bragg,physics,male,1862-07-02,GB,United Kingdom,William Bragg,02-07
83,1915,Lawrence,Bragg,physics,male,1890-03-31,AU,Australia,Lawrence Bragg,31-03
84,1915,Richard,Willstätter,chemistry,male,1872-08-13,DE,Germany,Richard Willstätter,13-08
85,1915,Romain,Rolland,literature,male,1866-01-29,FR,France,Romain Rolland,29-01
86,1916,Verner,von Heidenstam,literature,male,1859-07-06,SE,Sweden,Verner von Heidenstam,06-07
88,1917,Charles Glover,Barkla,physics,male,1877-06-07,GB,United Kingdom,Charles Glover Barkla,07-06
89,1917,Karl,Gjellerup,literature,male,1857-06-02,DK,Denmark,Karl Gjellerup,02-06
90,1917,Henrik,Pontoppidan,literature,male,1857-07-24,DK,Denmark,Henrik Pontoppidan,24-07
91,1918,Max,Planck,physics,male,1858-04-23,DE,Germany,Max Planck,23-04
92,1918,Fritz,Haber,chemistry,male,1868-12-09,PL,Poland,Fritz Haber,09-12
93,1919,Woodrow,Wilson,peace,male,1856-12-28,US,USA,Woodrow Wilson,28-12
94,1919,Jules,Bordet,medicine,male,1870-06-13,BE,Belgium,Jules Bordet,13-06
95,1919,Johannes,Stark,physics,male,1874-04-15,DE,Germany,Johannes Stark,15-04
96,1919,Carl,Spitteler,literature,male,1845-04-24,CH,Switzerland,Carl Spitteler,24-04
97,1920,Charles Edouard,Guillaume,physics,male,1861-02-15,CH,Switzerland,Charles Edouard Guillaume,15-02
98,1920,Walther,Nernst,chemistry,male,1864-06-25,PL,Poland,Walther Nernst,25-06
99,1920,August,Krogh,medicine,male,1874-11-15,DK,Denmark,August Krogh,15-11
100,1920,Léon,Bourgeois,peace,male,1851-05-21,FR,France,Léon Bourgeois,21-05
101,1920,Knut,Hamsun,literature,male,1859-08-04,NO,Norway,Knut Hamsun,04-08
102,1921,Anatole,France,literature,male,1844-04-16,FR,France,Anatole France,16-04
103,1921,Hjalmar,Branting,peace,male,1860-11-23,SE,Sweden,Hjalmar Branting,23-11
104,1921,Albert,Einstein,physics,male,1879-03-14,DE,Germany,Albert Einstein,14-03
105,1921,Frederick,Soddy,chemistry,male,1877-09-02,GB,United Kingdom,Frederick Soddy,02-09
106,1921,Christian,Lange,peace,male,1869-09-17,NO,Norway,Christian Lange,17-09
107,1922,Niels,Bohr,physics,male,1885-10-07,DK,Denmark,Niels Bohr,07-10
108,1922,Fridtjof,Nansen,peace,male,1861-10-10,NO,Norway,Fridtjof Nansen,10-10
109,1922,Francis W.,Aston,chemistry,male,1877-09-01,GB,United Kingdom,Francis W. Aston,01-09
110,1922,Otto,Meyerhof,medicine,male,1884-04-12,DE,Germany,Otto Meyerhof,12-04
111,1922,Jacinto,Benavente,literature,male,1866-08-12,ES,Spain,Jacinto Benavente,12-08
112,1922,Archibald V.,Hill,medicine,male,1886-09-26,GB,United Kingdom,Archibald V. Hill,26-09
113,1923,Frederick G.,Banting,medicine,male,1891-11-14,CA,Canada,Frederick G. Banting,14-11
114,1923,John,Macleod,medicine,male,1876-09-06,GB,Scotland,John Macleod,06-09
115,1923,Robert A.,Millikan,physics,male,1868-03-22,US,USA,Robert A. Millikan,22-03
116,1923,Fritz,Pregl,chemistry,male,1869-09-03,SI,Slovenia,Fritz Pregl,03-09
117,1923,William Butler,Yeats,literature,male,1865-06-13,IE,Ireland,William Butler Yeats,13-06
118,1924,Wladyslaw,Reymont,literature,male,1867-05-07,PL,Poland,Wladyslaw Reymont,07-05
119,1924,Willem,Einthoven,medicine,male,1860-05-21,ID,Indonesia,Willem Einthoven,21-05
120,1924,Manne,Siegbahn,physics,male,1886-12-03,SE,Sweden,Manne Siegbahn,03-12
121,1925,James,Franck,physics,male,1882-08-26,DE,Germany,James Franck,26-08
122,1925,Gustav,Hertz,physics,male,1887-07-22,DE,Germany,Gustav Hertz,22-07
123,1925,Sir Austen,Chamberlain,peace,male,1863-10-16,GB,United Kingdom,Sir Austen Chamberlain,16-10
124,1925,Charles G.,Dawes,peace,male,1865-08-27,US,USA,Charles G. Dawes,27-08
125,1925,Richard,Zsigmondy,chemistry,male,1865-04-01,AT,Austria,Richard Zsigmondy,01-04
126,1925,George Bernard,Shaw,literature,male,1856-07-26,IE,Ireland,George Bernard Shaw,26-07
127,1926,Gustav,Stresemann,peace,male,1878-05-10,DE,Germany,Gustav Stresemann,10-05
128,1926,Aristide,Briand,peace,male,1862-03-28,FR,France,Aristide Briand,28-03
129,1926,Grazia,Deledda,literature,female,1871-09-27,IT,Italy,Grazia Deledda,27-09
130,1926,Johannes,Fibiger,medicine,male,1867-04-23,DK,Denmark,Johannes Fibiger,23-04
131,1926,Jean Baptiste,Perrin,physics,male,1870-09-30,FR,France,Jean Baptiste Perrin,30-09
132,1926,The,Svedberg,chemistry,male,1884-08-30,SE,Sweden,The Svedberg,30-08
133,1927,Henri,Bergson,literature,male,1859-10-18,FR,France,Henri Bergson,18-10
134,1927,Ludwig,Quidde,peace,male,1858-03-23,DE,Germany,Ludwig Quidde,23-03
135,1927,Arthur H.,Compton,physics,male,1892-09-10,US,USA,Arthur H. Compton,10-09
136,1927,C.T.R.,Wilson,physics,male,1869-02-14,GB,Scotland,C.T.R. Wilson,14-02
137,1927,Julius,Wagner-Jauregg,medicine,male,1857-03-07,AT,Austria,Julius Wagner-Jauregg,07-03
138,1927,Heinrich,Wieland,chemistry,male,1877-06-04,DE,Germany,Heinrich Wieland,04-06
139,1927,Ferdinand,Buisson,peace,male,1841-12-20,FR,France,Ferdinand Buisson,20-12
140,1928,Charles,Nicolle,medicine,male,1866-09-21,FR,France,Charles Nicolle,21-09
141,1928,Adolf,Windaus,chemistry,male,1876-12-25,DE,Germany,Adolf Windaus,25-12
142,1928,Owen Willans,Richardson,physics,male,1879-04-26,GB,United Kingdom,Owen Willans Richardson,26-04
143,1928,Sigrid,Undset,literature,female,1882-05-20,DK,Denmark,Sigrid Undset,20-05
144,1929,Arthur,Harden,chemistry,male,1865-10-12,GB,United Kingdom,Arthur Harden,12-10
145,1929,Hans,von Euler-Chelpin,chemistry,male,1873-02-15,DE,Germany,Hans von Euler-Chelpin,15-02
146,1929,Christiaan,Eijkman,medicine,male,1858-08-11,NL,the Netherlands,Christiaan Eijkman,11-08
147,1929,Louis,de Broglie,physics,male,1892-08-15,FR,France,Louis de Broglie,15-08
148,1929,Thomas,Mann,literature,male,1875-06-06,DE,Germany,Thomas Mann,06-06
149,1929,Sir Frederick,Hopkins,medicine,male,1861-06-20,GB,United Kingdom,Sir Frederick Hopkins,20-06
150,1929,Frank B.,Kellogg,peace,male,1856-12-22,US,USA,Frank B. Kellogg,22-12
151,1930,Sinclair,Lewis,literature,male,1885-02-07,US,USA,Sinclair Lewis,07-02
152,1930,Karl,Landsteiner,medicine,male,1868-06-14,AT,Austria,Karl Landsteiner,14-06
153,1930,Hans,Fischer,chemistry,male,1881-07-27,DE,Germany,Hans Fischer,27-07
154,1930,Nathan,Söderblom,peace,male,1866-01-15,SE,Sweden,Nathan Söderblom,15-01
155,1930,Sir Chandrasekhara Venkata,Raman,physics,male,1888-11-07,IN,India,Sir Chandrasekhara Venkata Raman,07-11
156,1931,Otto,Warburg,medicine,male,1883-10-08,DE,Germany,Otto Warburg,08-10
157,1931,Carl,Bosch,chemistry,male,1874-08-27,DE,Germany,Carl Bosch,27-08
158,1931,Friedrich,Bergius,chemistry,male,1884-10-11,PL,Poland,Friedrich Bergius,11-10
159,1931,Erik Axel,Karlfeldt,literature,male,1864-07-20,SE,Sweden,Erik Axel Karlfeldt,20-07
160,1931,Jane,Addams,peace,female,1860-09-06,US,USA,Jane Addams,06-09
161,1931,Nicholas Murray,Butler,peace,male,1862-04-02,US,USA,Nicholas Murray Butler,02-04
162,1932,Edgar,Adrian,medicine,male,1889-11-30,GB,United Kingdom,Edgar Adrian,30-11
163,1932,Sir Charles,Sherrington,medicine,male,1857-11-27,GB,United Kingdom,Sir Charles Sherrington,27-11
164,1932,Werner,Heisenberg,physics,male,05-12-1901,DE,Germany,Werner Heisenberg,05-12
165,1932,John,Galsworthy,literature,male,1867-08-14,GB,United Kingdom,John Galsworthy,14-08
166,1932,Irving,Langmuir,chemistry,male,1881-01-31,US,USA,Irving Langmuir,31-01
167,1933,Paul A.M.,Dirac,physics,male,08-08-1902,GB,United Kingdom,Paul A.M. Dirac,08-08
168,1933,Erwin,Schrödinger,physics,male,1887-08-12,AT,Austria,Erwin Schrödinger,12-08
169,1933,Sir Norman,Angell,peace,male,1872-12-26,GB,United Kingdom,Sir Norman Angell,26-12
170,1933,Thomas H.,Morgan,medicine,male,1866-09-25,US,USA,Thomas H. Morgan,25-09
171,1933,Ivan,Bunin,literature,male,1870-10-22,RU,Russia,Ivan Bunin,22-10
172,1934,George H.,Whipple,medicine,male,1878-08-28,US,USA,George H. Whipple,28-08
173,1934,Harold C.,Urey,chemistry,male,1893-04-29,US,USA,Harold C. Urey,29-04
174,1934,Luigi,Pirandello,literature,male,1867-06-28,IT,Italy,Luigi Pirandello,28-06
175,1934,George R.,Minot,medicine,male,1885-12-02,US,USA,George R. Minot,02-12
176,1934,William P.,Murphy,medicine,male,1892-02-06,US,USA,William P. Murphy,06-02
177,1934,Arthur,Henderson,peace,male,1863-09-13,GB,Scotland,Arthur Henderson,13-09
178,1935,Frédéric,Joliot,chemistry,male,19-03-1900,FR,France,Frédéric Joliot,19-03
179,1935,Irène,Joliot-Curie,chemistry,female,1897-09-12,FR,France,Irène Joliot-Curie,12-09
180,1935,James,Chadwick,physics,male,1891-10-20,GB,United Kingdom,James Chadwick,20-10
181,1935,Hans,Spemann,medicine,male,1869-06-27,DE,Germany,Hans Spemann,27-06
182,1935,Carl,von Ossietzky,peace,male,1889-10-03,DE,Germany,Carl von Ossietzky,03-10
183,1936,Peter,Debye,chemistry,male,1884-03-24,NL,the Netherlands,Peter Debye,24-03
184,1936,Otto,Loewi,medicine,male,1873-06-03,DE,Germany,Otto Loewi,03-06
185,1936,Victor F.,Hess,physics,male,1883-06-24,AT,Austria,Victor F. Hess,24-06
186,1936,Sir Henry,Dale,medicine,male,1875-06-09,GB,United Kingdom,Sir Henry Dale,09-06
187,1936,Carl D.,Anderson,physics,male,03-09-1905,US,USA,Carl D. Anderson,03-09
188,1936,Carlos,Saavedra Lamas,peace,male,1878-11-01,AR,Argentina,Carlos Saavedra Lamas,01-11
189,1936,Eugene,O'Neill,literature,male,1888-10-16,US,USA,Eugene O'Neill,16-10
190,1937,George Paget,Thomson,physics,male,1892-05-03,GB,United Kingdom,George Paget Thomson,03-05
191,1937,Albert,Szent-Györgyi,medicine,male,1893-09-16,HU,Hungary,Albert Szent-Györgyi,16-09
192,1937,Norman,Haworth,chemistry,male,1883-03-19,GB,United Kingdom,Norman Haworth,19-03
193,1937,Clinton,Davisson,physics,male,1881-10-22,US,USA,Clinton Davisson,22-10
194,1937,Robert,Cecil,peace,male,1864-09-14,GB,United Kingdom,Robert Cecil,14-09
195,1937,Roger,Martin du Gard,literature,male,1881-03-23,FR,France,Roger Martin du Gard,23-03
196,1937,Paul,Karrer,chemistry,male,1889-04-21,RU,Russia,Paul Karrer,21-04
197,1938,Enrico,Fermi,physics,male,29-09-1901,IT,Italy,Enrico Fermi,29-09
198,1938,Richard,Kuhn,chemistry,male,03-12-1900,AT,Austria,Richard Kuhn,03-12
199,1938,Corneille,Heymans,medicine,male,1892-03-28,BE,Belgium,Corneille Heymans,28-03
201,1938,Pearl,Buck,literature,female,1892-06-26,US,USA,Pearl Buck,26-06
202,1939,Gerhard,Domagk,medicine,male,1895-10-30,PL,Poland,Gerhard Domagk,30-10
203,1939,Ernest,Lawrence,physics,male,08-08-1901,US,USA,Ernest Lawrence,08-08
204,1939,Leopold,Ruzicka,chemistry,male,1887-09-13,HR,Croatia,Leopold Ruzicka,13-09
205,1939,Adolf,Butenandt,chemistry,male,24-03-1903,DE,Germany,Adolf Butenandt,24-03
206,1939,Frans Eemil,Sillanpää,literature,male,1888-09-16,FI,Finland,Frans Eemil Sillanpää,16-09
207,1943,Henrik,Dam,medicine,male,1895-02-21,DK,Denmark,Henrik Dam,21-02
208,1943,Edward A.,Doisy,medicine,male,1893-11-13,US,USA,Edward A. Doisy,13-11
209,1943,George,de Hevesy,chemistry,male,1885-08-01,HU,Hungary,George de Hevesy,01-08
210,1943,Otto,Stern,physics,male,1888-02-17,PL,Poland,Otto Stern,17-02
211,1944,Joseph,Erlanger,medicine,male,1874-01-05,US,USA,Joseph Erlanger,05-01
212,1944,Johannes V.,Jensen,literature,male,1873-01-20,DK,Denmark,Johannes V. Jensen,20-01
213,1944,Herbert S.,Gasser,medicine,male,1888-07-05,US,USA,Herbert S. Gasser,05-07
214,1944,Otto,Hahn,chemistry,male,1879-03-08,DE,Germany,Otto Hahn,08-03
216,1944,Isidor Isaac,Rabi,physics,male,1898-07-29,PL,Poland,Isidor Isaac Rabi,29-07
217,1945,Wolfgang,Pauli,physics,male,25-04-1900,AT,Austria,Wolfgang Pauli,25-04
218,1945,Gabriela,Mistral,literature,female,1889-04-07,CL,Chile,Gabriela Mistral,07-04
219,1945,Artturi,Virtanen,chemistry,male,1895-01-15,FI,Finland,Artturi Virtanen,15-01
220,1945,Cordell,Hull,peace,male,1871-10-02,US,USA,Cordell Hull,02-10
221,1945,Sir Alexander,Fleming,medicine,male,1881-08-06,GB,Scotland,Sir Alexander Fleming,06-08
222,1945,Ernst B.,Chain,medicine,male,19-06-1906,DE,Germany,Ernst B. Chain,19-06
223,1945,Sir Howard,Florey,medicine,male,1898-09-24,AU,Australia,Sir Howard Florey,24-09
224,1946,John R.,Mott,peace,male,1865-05-25,US,USA,John R. Mott,25-05
225,1946,Percy W.,Bridgman,physics,male,1882-04-21,US,USA,Percy W. Bridgman,21-04
226,1946,James B.,Sumner,chemistry,male,1887-11-19,US,USA,James B. Sumner,19-11
227,1946,John H.,Northrop,chemistry,male,1891-07-05,US,USA,John H. Northrop,05-07
228,1946,Wendell M.,Stanley,chemistry,male,16-08-1904,US,USA,Wendell M. Stanley,16-08
229,1946,Hermann J.,Muller,medicine,male,1890-12-21,US,USA,Hermann J. Muller,21-12
230,1946,Emily Greene,Balch,peace,female,1867-01-08,US,USA,Emily Greene Balch,08-01
231,1946,Hermann,Hesse,literature,male,1877-07-02,DE,Germany,Hermann Hesse,02-07
232,1947,Gerty,Cori,medicine,female,1896-08-15,CZ,Czech Republic,Gerty Cori,15-08
233,1947,Bernardo,Houssay,medicine,male,1887-04-10,AR,Argentina,Bernardo Houssay,10-04
234,1947,Edward V.,Appleton,physics,male,1892-09-06,GB,United Kingdom,Edward V. Appleton,06-09
235,1947,André,Gide,literature,male,1869-11-22,FR,France,André Gide,22-11
236,1947,Sir Robert,Robinson,chemistry,male,1886-09-13,GB,United Kingdom,Sir Robert Robinson,13-09
239,1947,Carl,Cori,medicine,male,1896-12-05,CZ,Czech Republic,Carl Cori,05-12
240,1948,Paul,Müller,medicine,male,1899-01-12,CH,Switzerland,Paul Müller,12-01
241,1948,T.S.,Eliot,literature,male,1888-09-26,US,USA,T.S. Eliot,26-09
242,1948,Arne,Tiselius,chemistry,male,10-08-1902,SE,Sweden,Arne Tiselius,10-08
243,1948,Patrick M.S.,Blackett,physics,male,1897-11-18,GB,United Kingdom,Patrick M.S. Blackett,18-11
244,1949,Egas,Moniz,medicine,male,1874-11-29,PT,Portugal,Egas Moniz,29-11
245,1949,William F.,Giauque,chemistry,male,1895-05-12,CA,Canada,William F. Giauque,12-05
246,1949,Walter,Hess,medicine,male,1881-03-17,CH,Switzerland,Walter Hess,17-03
247,1949,William,Faulkner,literature,male,1897-09-25,US,USA,William Faulkner,25-09
248,1949,John,Boyd Orr,peace,male,1880-09-23,GB,Scotland,John Boyd Orr,23-09
249,1949,Hideki,Yukawa,physics,male,23-01-1907,JP,Japan,Hideki Yukawa,23-01
250,1950,Bertrand,Russell,literature,male,1872-05-18,GB,United Kingdom,Bertrand Russell,18-05
251,1950,Ralph,Bunche,peace,male,07-08-1904,US,USA,Ralph Bunche,07-08
252,1950,Philip S.,Hench,medicine,male,1896-02-28,US,USA,Philip S. Hench,28-02
253,1950,Tadeus,Reichstein,medicine,male,1897-07-20,PL,Poland,Tadeus Reichstein,20-07
254,1950,Edward C.,Kendall,medicine,male,1886-03-08,US,USA,Edward C. Kendall,08-03
255,1950,Kurt,Alder,chemistry,male,10-07-1902,PL,Poland,Kurt Alder,10-07
256,1950,Cecil,Powell,physics,male,05-12-1903,GB,United Kingdom,Cecil Powell,05-12
257,1950,Otto,Diels,chemistry,male,1876-01-23,DE,Germany,Otto Diels,23-01
258,1951,Léon,Jouhaux,peace,male,1879-07-01,FR,France,Léon Jouhaux,01-07
259,1951,Pär,Lagerkvist,literature,male,1891-05-23,SE,Sweden,Pär Lagerkvist,23-05
260,1951,Ernest T.S.,Walton,physics,male,06-10-1903,IE,Ireland,Ernest T.S. Walton,06-10
261,1951,John,Cockcroft,physics,male,1897-05-27,GB,United Kingdom,John Cockcroft,27-05
262,1951,Edwin M.,McMillan,chemistry,male,18-09-1907,US,USA,Edwin M. McMillan,18-09
263,1951,Max,Theiler,medicine,male,1899-01-30,ZA,South Africa,Max Theiler,30-01
264,1951,Glenn T.,Seaborg,chemistry,male,19-04-1912,US,USA,Glenn T. Seaborg,19-04
265,1952,Felix,Bloch,physics,male,23-10-1905,CH,Switzerland,Felix Bloch,23-10
266,1952,Richard L.M.,Synge,chemistry,male,28-10-1914,GB,United Kingdom,Richard L.M. Synge,28-10
267,1952,Albert,Schweitzer,peace,male,1875-01-14,FR,France,Albert Schweitzer,14-01
268,1952,Selman A.,Waksman,medicine,male,1888-07-22,UA,Ukraine,Selman A. Waksman,22-07
269,1952,Archer J.P.,Martin,chemistry,male,01-03-1910,GB,United Kingdom,Archer J.P. Martin,01-03
270,1952,E. M.,Purcell,physics,male,30-08-1912,US,USA,E. M. Purcell,30-08
271,1952,François,Mauriac,literature,male,1885-10-11,FR,France,François Mauriac,11-10
272,1953,George C.,Marshall,peace,male,1880-12-31,US,USA,George C. Marshall,31-12
273,1953,Hans,Krebs,medicine,male,25-08-1900,DE,Germany,Hans Krebs,25-08
274,1953,Fritz,Lipmann,medicine,male,1899-06-12,RU,Russia,Fritz Lipmann,12-06
275,1953,Frits,Zernike,physics,male,1888-07-16,NL,the Netherlands,Frits Zernike,16-07
276,1953,Hermann,Staudinger,chemistry,male,1881-03-23,DE,Germany,Hermann Staudinger,23-03
277,1953,Winston,Churchill,literature,male,1874-11-30,GB,United Kingdom,Winston Churchill,30-11
278,1954,John F.,Enders,medicine,male,1897-02-10,US,USA,John F. Enders,10-02
279,1954,Thomas H.,Weller,medicine,male,15-06-1915,US,USA,Thomas H. Weller,15-06
280,1954,Frederick C.,Robbins,medicine,male,25-08-1916,US,USA,Frederick C. Robbins,25-08
281,1954,Linus,Pauling,chemistry,male,28-02-1901,US,USA,Linus Pauling,28-02
282,1954,Max,Born,physics,male,1882-12-11,PL,Poland,Max Born,11-12
283,1954,Walther,Bothe,physics,male,1891-01-08,DE,Germany,Walther Bothe,08-01
284,1954,Ernest,Hemingway,literature,male,1899-07-21,US,USA,Ernest Hemingway,21-07
286,1955,Halldór,Laxness,literature,male,23-04-1902,IS,Iceland,Halldór Laxness,23-04
287,1955,Polykarp,Kusch,physics,male,26-01-1911,DE,Germany,Polykarp Kusch,26-01
288,1955,Willis E.,Lamb,physics,male,12-07-1913,US,USA,Willis E. Lamb,12-07
289,1955,Hugo,Theorell,medicine,male,06-07-1903,SE,Sweden,Hugo Theorell,06-07
